0.7,-3.5
0.9,-3
1,-2.7
1.1,-2.3
1.1,-2.1
1.2,-1.8
1.2,-1.6
1.2,-1.3
1.2,-1
1.2,-0.8
1.1,-0.7
0.8,-0.7
0.4,-0.9
-0.2,-1.3
-0.8,-1.8
-1.5,-2.4
-2.2,-2.9
-2.8,-3.3
-3.4,-3.6
-3.9,-3.8
-4.2,-3.8
-4.4,-3.7
-4.5,-3.5
-4.6,-3.2
-4.7,-2.8
-4.8,-2.4
-4.9,-2.1
-5.1,-1.8
-5.4,-1.6
-5.8,-1.5
-6.1,-1.5
-6.5,-1.5
-6.8,-1.6
-6.9,-1.7
-6.9,-1.8
-6.7,-1.9
-6.5,-2.2
-6.2,-2.4
-5.9,-2.8
-5.6,-3.1
-5.3,-3.4
-5,-3.7
-4.6,-3.9
-4.1,-3.9
-3.6,-3.9
-3.1,-3.8
-2.8,-3.6
-2.6,-3.3
-2.7,-3
-3.1,-2.8
-3.7,-2.5
-4.5,-2.3
-5.3,-2.3
-6,-2.5
-6.8,-3
-7.5,-4.1
-8.2,-5.8
-8.9,-8.1
-9.7,-11.3
-10.8,-15.4
-12.2,-20.6
-13.8,-27
-15.7,-34.4
-17.7,-43.1
-20.2,-52.9
-23.1,-64
-26.4,-76.1
-29.9,-89.2
-33.6,-102.8
-37.4,-116.9
-41.3,-130.9
-45.4,-144.4
-49.5,-156.9
-53.5,-167.9
-57,-177
-60.1,-184
-62.5,-188.4
-63.9,-190.2
-64.4,-189.2
-63.9,-185.7
-62.6,-179.8
-60.5,-171.8
-57.7,-161.9
-54.3,-150.4
-50.4,-137.7
-46,-124.1
-41.2,-109.9
-36.2,-95.4
-31.1,-80.9
-26,-66.6
-21.2,-52.8
-16.5,-39.6
-12.2,-27
-8,-15
-4.1,-3.8
-0.3,6.9
3.5,17
7.2,26.6
10.9,35.8
14.7,44.6
18.4,53
22,61
25.6,68.6
29.1,76
32.6,83.1
36.1,89.9
39.5,96.5
42.8,102.9
45.9,108.8
48.9,114.4
51.7,119.6
54.3,124.4
56.7,128.9
58.8,133.1
60.7,137
62.5,140.8
64.2,144.3
65.8,147.7
67.4,151
69,154.1
70.7,157.1
72.4,159.9
74,162.4
75.6,164.8
77,166.9
78.3,168.7
79.3,170.3
80.2,171.4
80.8,172.2
81.2,172.7
81.4,172.8
81.5,172.7
81.4,172.4
81,171.9
80.5,171.1
79.6,170.2
78.5,169.1
77.2,167.8
75.6,166.4
73.9,164.8
72.2,163
70.4,161.2
68.7,159.2
66.9,157
65.1,154.7
63.1,152.3
61.1,149.7
59,147.1
56.9,144.4
54.8,141.6
52.5,138.8
50.2,136.1
47.7,133.4
45.1,130.7
42.2,128.2
39.3,125.7
36.4,123.3
33.4,121
30.5,118.7
27.5,116.5
24.5,114.3
21.5,112.1
18.3,109.7
15,107.2
11.5,104.5
7.8,101.6
4,98.5
0,95
-4,91.3
-8.1,87.2
-12,82.9
-15.8,78.3
-19.2,73.5
-22.2,68.6
-24.8,63.6
-27,58.7
-28.6,53.8
-29.7,49.1
-30.3,44.3
-30.5,39.6
-30.4,34.9
-30.1,30
-29.7,24.8
-29.3,19.5
-28.9,13.8
-28.6,7.9
-28.4,1.7
-28.4,-4.6
-28.6,-11.2
-29,-17.9
-29.8,-24.7
-30.7,-31.6
-31.7,-38.5
-32.9,-45.3
-34.2,-52
-35.4,-58.6
-36.6,-65.1
-37.7,-71.3
-38.9,-77.3
-40,-83.1
-41,-88.6
-42,-93.8
-43,-98.8
-43.9,-103.5
-44.8,-108
-45.5,-112.3
-46.1,-116.4
-46.5,-120.4
-46.8,-124.1
-46.9,-127.6
-46.9,-131
-46.8,-134.2
-46.8,-137.4
-46.8,-140.5
-46.8,-143.6
-46.9,-146.7
-47.1,-149.7
-47.3,-152.7
-47.5,-155.6
-47.7,-158.4
-47.9,-161
-48.1,-163.4
-48.3,-165.7
-48.4,-167.7
-48.6,-169.5
-48.6,-171.1
-48.6,-172.4
-48.6,-173.4
-48.5,-174.1
-48.4,-174.7
-48.3,-175.1
-48.2,-175.3
-48.2,-175.4
-48.2,-175.4
-48.2,-175.2
-48.2,-174.8
-48.2,-174.3
-48.3,-173.5
-48.3,-172.5
-48.3,-171.3
-48.3,-169.8
-48.1,-168.1
