-1.3,-1.4
-1.7,-1.6
-2.1,-1.7
-2.4,-1.8
-2.8,-1.8
-3.2,-1.8
-3.6,-1.7
-3.9,-1.6
-4.3,-1.5
-4.6,-1.4
-4.9,-1.3
-5.2,-1.2
-5.4,-1.1
-5.6,-1
-5.8,-1
-5.9,-0.9
-6,-0.8
-6,-0.7
-6,-0.6
-5.9,-0.4
-5.6,-0.2
-5.2,0
-4.8,0.2
-4.2,0.3
-3.5,0.4
-2.8,0.5
-2.2,0.5
-1.6,0.5
-1,0.4
-0.5,0.3
-0.1,0.2
0.2,0.1
0.4,-0.1
0.5,-0.2
0.5,-0.4
0.5,-0.5
0.3,-0.8
0,-1.1
-0.5,-1.7
-1.1,-2.4
-1.8,-3.2
-2.6,-4.2
-3.5,-5.3
-4.4,-6.5
-5.3,-7.7
-6.2,-9
-7.1,-10.3
-8,-11.5
-8.8,-12.7
-9.4,-13.7
-9.9,-14.6
-10.1,-15.2
-10.1,-15.5
-9.9,-15.5
-9.6,-15.2
-9.4,-14.7
-9.1,-14
-8.9,-13.2
-8.7,-12.3
-8.3,-11.4
-7.9,-10.4
-7.4,-9.4
-6.9,-8.3
-6.4,-7.4
-5.9,-6.4
-5.5,-5.5
-4.9,-4.7
-4.3,-3.9
-3.7,-3.3
-2.9,-2.6
-2.2,-2
-1.4,-1.4
-0.6,-0.7
0.1,0
0.6,0.7
0.9,1.3
1,1.9
0.9,2.5
0.7,3
0.5,3.6
0.2,4.2
-0.1,4.7
-0.3,5.3
-0.4,5.8
-0.4,6.3
-0.3,6.7
0,7
0.3,7.2
0.7,7.3
1.2,7.2
1.6,7.1
1.9,6.8
2.3,6.5
2.5,6.2
2.7,5.8
2.8,5.4
2.7,4.9
2.5,4.4
2.2,4
2,3.7
2,3.5
2,3.6
2.2,3.8
2.5,4.3
2.9,4.9
3.4,5.7
3.9,6.6
4.5,7.5
4.9,8.5
5.3,9.4
5.5,10.1
5.7,10.8
5.8,11.2
5.8,11.5
5.8,11.6
5.8,11.5
5.7,11.2
5.7,10.8
5.6,10.3
5.5,9.6
5.4,8.9
5.4,8.1
5.3,7.3
5.3,6.5
5.2,5.7
5,4.9
4.7,4.2
4.3,3.5
3.9,2.9
3.6,2.4
3.5,2
3.5,1.8
3.7,1.8
4.1,1.8
4.5,1.9
5.1,2
5.7,2.1
6.4,2.2
7,2.3
7.7,2.4
8.2,2.5
8.8,2.5
9.3,2.5
9.7,2.5
10,2.6
10.2,2.7
10.4,2.8
10.5,3
10.4,3.2
10.3,3.4
10,3.6
9.5,3.7
8.8,3.7
8,3.7
7.1,3.6
6,3.5
4.9,3.3
3.8,3.1
2.7,2.8
1.7,2.5
0.8,2.1
0,1.8
-0.6,1.4
-1.1,1.1
-1.4,0.8
-1.7,0.6
-1.8,0.4
-1.8,0.3
-1.7,0.2
-1.5,0.1
-1.3,-0.1
