2.3,-0.4
2.8,-0.9
3.3,-1.3
3.7,-1.8
4,-2.3
4.2,-2.8
4.2,-3.3
4.1,-3.7
3.9,-4.1
3.6,-4.5
3.1,-4.9
2.5,-5.1
1.9,-5.2
1.1,-5.2
0.3,-5
-0.6,-4.7
-1.4,-4.4
-2.1,-4
-2.7,-3.6
-3.1,-3.2
-3.3,-2.7
-3.4,-2.3
-3.3,-1.9
-3,-1.5
-2.7,-1.1
-2.2,-0.7
-1.7,-0.4
-1.2,-0.2
-0.7,-0.2
-0.3,-0.3
0,-0.6
0.2,-1.3
0.3,-2.1
0.3,-3
0.2,-4.1
0.1,-5.2
-0.2,-6.2
-0.4,-7
-0.7,-7.7
-1,-8.3
-1.4,-8.7
-1.7,-8.9
-2,-8.8
-2.3,-8.6
-2.6,-8.2
-2.7,-7.6
-2.9,-6.8
-2.9,-5.9
-2.9,-4.8
-2.8,-3.8
-2.7,-2.8
-2.7,-1.8
-2.6,-1
-2.6,-0.2
-2.7,0.5
-2.8,1.1
-2.9,1.7
-2.9,2.2
-3,2.7
-3.1,2.9
-3.1,3.1
-3,3.2
-2.9,3.1
-2.7,3
-2.6,2.8
-2.5,2.7
-2.3,2.5
-2.2,2.5
-2.1,2.5
-2,2.5
-1.9,2.6
-1.9,2.7
-1.9,2.8
-1.9,2.9
-2,3
-2.1,3.1
-2.3,3.3
-2.6,3.5
-2.9,3.7
-3.2,3.9
-3.6,4.1
-4,4.1
-4.4,4
-4.9,3.7
-5.3,3.2
-5.6,2.6
-5.8,2
-5.9,1.5
-5.9,1.2
-5.7,1
-5.3,1
-4.8,1
-4.1,1
-3.4,1
-2.7,1
-1.9,0.9
-1.2,0.7
-0.7,0.5
-0.2,0.3
0.2,-0.1
0.5,-0.4
0.6,-0.9
0.5,-1.4
0.4,-1.9
0,-2.4
-0.4,-2.9
-1.1,-3.3
-1.9,-3.7
-2.9,-4
-4,-4.3
-5.2,-4.6
-6.3,-4.8
-7.3,-4.9
-8,-5
-8.5,-4.9
-8.8,-4.8
-8.7,-4.6
-8.3,-4.3
-7.7,-4
-6.8,-3.6
-5.7,-3.2
-4.5,-2.8
-3.1,-2.4
-1.7,-2
-0.3,-1.6
1,-1.1
2.2,-0.5
3.3,0.1
4.3,0.8
5.2,1.6
6,2.3
6.6,3
7.1,3.6
7.5,4.1
7.7,4.5
7.7,4.8
7.5,4.9
7.1,4.8
6.5,4.7
5.6,4.4
4.6,4
3.4,3.5
2.1,3.1
0.9,2.8
-0.1,2.5
-1,2.4
-1.7,2.3
-2.1,2.3
-2.3,2.3
-2.2,2.3
-1.9,2.4
-1.4,2.6
-0.7,2.8
0,3
