-1.7,-0.2
-1.7,0.1
-1.7,0.4
-1.7,0.7
-1.7,1
-1.7,1.4
-1.7,1.7
-1.8,2.2
-1.9,2.7
-2.1,3.2
-2.3,3.7
-2.7,4
-3.3,4.3
-3.8,4.3
-4.4,4.1
-5,3.9
-5.4,3.5
-5.7,3.1
-5.8,2.7
-5.7,2.3
-5.5,2
-5,1.7
-4.4,1.4
-3.6,1.1
-2.7,0.7
-1.8,0.4
-1,0
-0.2,-0.5
0.5,-0.9
1.1,-1.4
1.6,-1.9
1.9,-2.5
2.3,-3.1
2.7,-3.8
3,-4.5
3.2,-5.4
3,-6.3
2.3,-7.3
1.2,-8.4
-0.5,-9.6
-2.8,-11.1
-5.6,-12.8
-9.1,-14.7
-13.2,-17
-18,-19.7
-23.4,-22.7
-29.5,-26.2
-36.1,-30.1
-43.3,-34.4
-50.8,-38.9
-58.6,-43.7
-66.6,-48.7
-74.6,-53.7
-82.6,-58.7
-90.3,-63.4
-97.7,-67.6
-104.6,-71.2
-111,-74.1
-116.7,-76.3
-121.8,-77.6
-126,-78.1
-129.5,-77.8
-132,-76.7
-133.7,-74.9
-134.5,-72.3
-134.5,-69
-133.6,-65.2
-132.1,-60.8
-129.9,-56.1
-127.2,-51.2
-124,-46.2
-120.5,-41.2
-116.8,-36.3
-112.8,-31.4
-108.6,-26.6
-104.3,-21.9
-99.9,-17.3
-95.4,-12.9
-90.9,-8.6
-86.4,-4.6
-81.7,-0.6
-76.8,3.3
-71.7,7.2
-66.4,11.1
-60.8,14.8
-55,18.6
-48.9,22.3
-42.5,25.9
-36,29.5
-29.3,33
-22.3,36.4
-15.2,39.6
-7.9,42.7
-0.5,45.5
7,48.2
14.5,50.6
22.1,52.9
29.7,55
37.3,57
44.9,58.7
52.5,60.3
60,61.8
67.3,63
74.6,64.1
81.6,65
88.4,65.5
94.9,65.8
101.2,65.9
107.2,65.7
113,65.4
118.5,64.9
123.8,64.4
128.9,63.9
133.9,63.5
138.6,63.1
143.1,62.7
147.4,62.2
151.2,61.6
154.7,61
157.9,60.3
160.8,59.5
163.5,58.9
166.2,58.3
168.9,58
171.6,57.7
174.3,57.6
176.8,57.5
179.3,57.5
181.4,57.5
183.3,57.5
184.9,57.5
186.1,57.5
186.9,57.3
187.4,57.1
187.5,56.7
187.3,56.1
186.6,55.4
185.6,54.5
184.3,53.4
182.6,52.2
180.8,50.8
178.7,49.3
176.5,47.8
174,46.1
171.4,44.4
168.7,42.8
165.8,41.2
162.8,39.7
159.7,38.4
156.4,37.2
152.9,35.9
149.3,34.7
145.4,33.4
141.4,32.1
137.3,30.7
133.2,29.2
129,27.7
124.8,26
120.5,24.2
116.2,22.3
111.9,20.4
107.4,18.5
102.9,16.8
98.4,15.1
93.9,13.7
89.4,12.4
84.7,11.3
80,10.4
75.2,9.6
70.3,9
65.3,8.3
60.1,7.6
54.9,6.8
49.6,5.8
