4,0.5
3.9,0.3
3.9,0.2
3.7,0.2
3.5,0.2
3.1,0.3
2.6,0.3
2,0.3
1.4,0.3
0.9,0.2
0.3,0
0,-0.2
-0.3,-0.5
-0.4,-0.7
-0.4,-1
-0.3,-1.2
-0.1,-1.4
0,-1.6
0.2,-1.7
0.5,-1.7
0.7,-1.6
1,-1.5
1.3,-1.2
1.6,-0.9
1.8,-0.5
1.9,-0.2
1.9,0
1.9,0.1
1.8,0.1
1.6,0
1.5,-0.1
1.4,-0.3
1.3,-0.6
1.3,-0.9
1.4,-1.2
1.6,-1.5
2,-1.7
2.4,-1.9
2.9,-1.9
3.5,-1.8
4,-1.6
4.4,-1.3
4.8,-0.8
5.2,-0.2
5.5,0.4
5.8,1
6,1.7
6.2,2.3
6.2,2.9
6.2,3.3
6,3.5
5.7,3.5
5.3,3.3
4.8,3
4.4,2.5
4,2
3.8,1.4
3.7,0.7
3.7,0.1
3.8,-0.6
3.9,-1.3
4,-1.9
4.1,-2.4
4.2,-2.9
4.3,-3.1
4.5,-3.2
4.6,-3.1
4.6,-2.9
4.6,-2.7
4.4,-2.4
4,-2.3
3.4,-2.2
2.6,-2.3
1.7,-2.4
0.7,-2.5
-0.3,-2.5
-1.2,-2.5
-2,-2.5
-2.7,-2.4
-3.2,-2.3
-3.4,-2.2
-3.6,-2.1
-3.5,-2
-3.2,-2
-2.8,-1.9
-2.3,-1.8
-1.6,-1.6
-0.8,-1.4
0.1,-1.1
1,-0.8
1.8,-0.5
2.6,-0.1
3.3,0.2
3.7,0.5
3.9,0.6
4,0.6
3.8,0.5
3.5,0.3
3.2,-0.1
2.9,-0.5
2.6,-0.9
2.4,-1.3
2.2,-1.6
2.1,-1.8
2.1,-1.8
2.2,-1.8
2.3,-1.7
2.4,-1.5
2.5,-1.2
2.5,-1
2.3,-0.8
2,-0.6
1.5,-0.5
1,-0.5
0.4,-0.5
-0.2,-0.6
-0.7,-0.6
-1.2,-0.7
-1.6,-0.8
-1.9,-1
-2.2,-1.2
-2.3,-1.5
-2.4,-1.8
-2.4,-2.1
-2.2,-2.3
-1.8,-2.4
-1.4,-2.4
-0.8,-2.1
-0.1,-1.7
0.7,-1.1
1.4,-0.5
2.2,0.2
2.8,0.9
3.3,1.5
3.7,2.1
3.9,2.7
4,3.1
3.9,3.4
3.7,3.7
3.3,3.8
2.9,3.9
2.4,4
2,4.1
1.7,4.1
1.5,4.1
1.4,4.1
1.5,4
1.6,3.9
1.9,3.8
2.1,3.8
2.2,3.7
2.3,3.6
2.3,3.6
2.1,3.5
1.8,3.4
1.4,3.3
1,3.1
0.6,2.8
0.2,2.5
-0.1,2.2
-0.4,1.8
-0.6,1.3
-0.8,0.8
-0.9,0.2
-0.9,-0.5
-0.8,-1.2
-0.7,-1.8
-0.5,-2.3
-0.3,-2.7
0,-3
0.4,-3.1
0.8,-3.1
1.3,-3
1.8,-2.7
2.2,-2.2
2.6,-1.6
2.8,-0.9
2.9,-0.2
2.7,0.6
2.4,1.2
1.8,1.7
1.1,2
0.2,2.1
-0.9,2.1
-1.9,2
-2.9,1.8
-3.8,1.5
-4.5,1.4
-4.8,1.4
-4.7,1.5
-4.3,1.7
-3.6,2.1
-2.6,2.5
-1.4,3
0,3.4
1.5,3.8
2.9,4.1
4.2,4.3
5.4,4.4
6.4,4.4
7,4.3
7.3,4.2
7.3,4
6.9,3.9
6.3,3.8
5.5,3.7
4.5,3.7
3.4,3.7
2.4,3.7
1.5,3.7
0.7,3.8
0,4
-0.5,4.2
-0.8,4.4
-1.1,4.7
-1.1,4.9
-1.1,5.2
-1,5.5
-0.9,5.7
-0.7,5.9
-0.5,6
-0.3,5.9
-0.2,5.7
-0.1,5.3
0,4.7
0,4.1
0.1,3.4
0.1,2.7
0.1,2
0.1,1.4
0.2,0.8
0.2,0.3
0.2,0
0.2,-0.2
0.2,-0.2
0.3,-0.1
0.3,0
0.3,0.2
0.3,0.3
0.2,0.3
-0.1,0.3
-0.4,0.3
-0.8,0.2
-1.1,0.2
-1.2,0
-1.1,-0.3
-0.8,-0.8
-0.7,-1.4
-0.8,-2.3
-1.2,-3.2
-1.9,-4.3
-2.9,-5.6
-4.4,-6.9
-6.5,-8.4
-9.1,-10
-12.5,-11.9
-16.5,-14
-21.1,-16.6
-26.3,-19.6
-32,-23
-38.2,-27
-44.8,-31.4
-51.8,-36.2
-59.1,-41.3
-66.7,-46.8
-74.4,-52.4
-81.9,-58.1
-89.4,-63.9
-96.4,-69.4
-103.1,-74.7
-109.2,-79.6
-114.7,-84
-119.6,-87.8
-123.8,-90.9
-127.2,-93.1
-129.8,-94.4
-131.6,-94.8
-132.5,-94.2
-132.5,-92.7
-131.7,-90.4
-130.1,-87.3
-127.8,-83.6
-125.1,-79.3
-121.9,-74.6
-118.3,-69.6
-114.5,-64.3
-110.3,-58.7
-106,-52.9
-101.3,-47
-96.4,-41.1
-91.2,-35.2
-85.8,-29.2
-80.1,-23.3
-74.2,-17.5
-68.2,-11.8
-62,-6.2
-55.6,-0.7
-49.2,4.6
-42.5,9.7
-35.8,14.7
-28.9,19.7
-21.8,24.5
-14.7,29.2
-7.6,33.8
-0.3,38.2
6.9,42.4
14.2,46.4
21.3,50.3
28.4,53.9
35.2,57.4
41.9,60.8
48.4,63.9
54.6,66.9
60.6,69.8
66.5,72.5
72.2,75.1
77.9,77.7
83.5,80.3
89.1,82.8
94.5,85.1
99.9,87.4
105.2,89.6
110.5,91.5
115.6,93.2
120.5,94.6
125.3,95.8
129.9,96.6
134.3,97.2
138.4,97.5
142.2,97.7
145.9,97.8
149.2,97.8
152.3,97.9
155,97.9
157.5,97.9
159.8,97.7
161.8,97.5
163.7,97.1
165.5,96.6
167.1,96
168.5,95.1
169.8,94.1
170.7,92.8
171.3,91.2
171.7,89.4
171.8,87.4
171.7,85.1
171.4,82.8
171,80.3
170.5,77.7
170,75.2
169.3,72.7
168.4,70.2
167.2,67.7
165.6,65.3
163.7,62.9
161.5,60.7
159,58.6
156.3,56.6
153.4,54.8
150.3,53
147.1,51.3
143.8,49.6
140.5,48
137,46.4
133.3,44.7
129.5,42.9
125.6,40.9
121.6,38.8
117.6,36.5
113.6,34.2
109.6,31.7
105.6,29.1
101.6,26.3
97.6,23.5
93.6,20.6
89.5,17.7
85.3,14.8
81.1,11.9
76.9,9
72.6,6.2
68.3,3.6
64,1
59.6,-1.5
55.1,-4
50.6,-6.4
46,-8.7
41.5,-10.9
36.9,-13.2
32.4,-15.4
28,-17.7
23.6,-20.1
19.4,-22.4
15.2,-24.7
11.2,-27
7.2,-29.1
3.3,-31.1
-0.6,-32.9
-4.5,-34.7
-8.4,-36.3
-12.4,-37.9
-16.5,-39.3
-20.7,-40.7
-25,-42.1
-29.2,-43.5
-33.5,-44.8
-37.7,-46.2
-42,-47.7
-46.2,-49.1
-50.4,-50.5
-54.4,-51.8
-58.1,-53
-61.5,-54.1
-64.5,-55.1
-67.2,-56.1
-69.6,-56.9
-71.7,-57.7
-73.6,-58.3
-75.3,-58.8
-76.9,-59.1
-78.4,-59.3
-79.8,-59.4
-81.3,-59.5
-82.8,-59.7
-84.3,-59.9
-86,-60.1
-87.6,-60.3
-89.2,-60.6
-90.8,-60.9
-92.4,-61.1
-93.9,-61.4
-95.5,-61.6
-96.9,-61.6
-98.3,-61.6
-99.7,-61.5
-100.9,-61.4
-102,-61.1
-103.1,-60.9
-104.1,-60.6
-105,-60.3
-105.8,-60.1
-106.6,-59.9
-107.4,-59.7
-108.2,-59.6
-108.8,-59.5
-109.4,-59.4
-109.9,-59.3
-110.3,-59.2
-110.7,-59.1
-110.9,-58.9
-110.9,-58.6
-110.9,-58.1
-110.6,-57.5
-110.2,-56.6
-109.5,-55.5
-108.7,-54.2
-107.9,-52.8
-107,-51.3
-106.1,-49.8
-105.3,-48.4
-104.7,-47.2
-104.1,-46.1
-103.6,-45.2
-103.2,-44.5
-102.9,-43.8
-102.4,-43.3
-102,-42.8
-101.4,-42.4
-100.7,-42.1
-100,-41.8
-99.1,-41.5
-98.2,-41.1
-97.1,-40.6
-96,-40
-94.7,-39.2
-93.3,-38.1
-91.8,-36.8
-90.2,-35.4
-88.6,-33.8
-86.9,-32
-85.2,-30.3
-83.4,-28.4
-81.6,-26.5
-79.7,-24.6
-77.8,-22.7
-75.9,-21
-74.1,-19.3
-72.3,-17.9
-70.6,-16.6
-69,-15.6
-67.5,-14.7
